"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"13549175000102","Estadual","BA","NA","001","2957","2","26647","7","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"30175507000147","Estadual","BA","NA","001","4340","0","51402","0","Fundo Partidário"
"PARTIDO NOVO","NOVO",30,"30175507000147","Estadual","BA","NA","001","4340","0","51401","2","Outros Recursos"
"PARTIDO NOVO","NOVO",30,"30175507000147","Estadual","BA","NA","001","4340","0","51398","9","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"13758016000100","Estadual","BA","NA","001","2957","2","981347","0","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"13758016000100","Estadual","BA","NA","001","2957","2","27581","6","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"13758016000100","Estadual","BA","NA","001","2957","2","23507","5","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"13758016000100","Estadual","BA","NA","104","1522","2","504","0","Outros Recursos"
"PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN",33,"01332853000193","Estadual","BA","NA","001","0019","1","10731","X","Outros Recursos"
"PROGRESSISTAS","PP",11,"01340307000102","Estadual","BA","NA","001","2971","8","27438","0","Fundo Partidário"
"PROGRESSISTAS","PP",11,"01340307000102","Estadual","BA","NA","001","2971","8","122619","3","Fundo Partidário"
"PROGRESSISTAS","PP",11,"01340307000102","Estadual","BA","NA","001","2971","8","108408","9","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"04000324000180","Estadual","BA","NA","001","2957","2","981323","3","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"04000324000180","Estadual","BA","NA","001","2957","2","5183","7","Outros Recursos"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"04000324000180","Estadual","BA","NA","001","2957","2","25279","4","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08713250000180","Estadual","BA","NA","001","3454","1","29724","0","Outros Recursos"
"PARTIDO DA REPÚBLICA","PR",22,"08713250000180","Estadual","BA","NA","001","3454","1","17218","9","Fundo Partidário"
"PARTIDO DA REPÚBLICA","PR",22,"08713250000180","Estadual","BA","NA","001","3454","1","36527","0","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08666672000142","Estadual","BA","NA","001","3385","5","39043","7","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08666672000142","Estadual","BA","NA","001","3385","5","36073","2","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08666672000142","Estadual","BA","NA","001","3385","5","34021","9","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08666672000142","Estadual","BA","NA","001","3385","5","109206","5","Outros Recursos"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05931467000179","Estadual","BA","NA","104","2022","03","4607","8","Fundo Partidário"
"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO","PRTB",28,"05931467000179","Estadual","BA","NA","104","2022","03","4505","1","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"16068108000156","Estadual","BA","NA","001","1800","7","82812","2","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"16068108000156","Estadual","BA","NA","001","1800","7","37749","X","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"16068108000156","Estadual","BA","NA","001","1800","7","36003","1","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"16068108000156","Estadual","BA","NA","001","1800","7","30734","3","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"40480329000111","Estadual","BA","NA","237","3571","8","72494","7","Outros Recursos"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"40480329000111","Estadual","BA","NA","001","1800","7","38150","0","Fundo Partidário"
"PARTIDO SOCIAL CRISTÃO","PSC",20,"40480329000111","Estadual","BA","NA","001","1800","7","33332","8","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"33794488000125","Estadual","BA","NA","001","2957","2","9297","5","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"33794488000125","Estadual","BA","NA","001","2957","2","7420","9","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"33794488000125","Estadual","BA","NA","001","5737","1","13123","7","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"33794488000125","Estadual","BA","NA","001","5737","1","13122","9","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"33794488000125","Estadual","BA","NA","001","5737","1","13096","6","Fundo Partidário"
"PARTIDO SOCIAL LIBERAL","PSL",17,"01383005000103","Estadual","BA","NA","237","3571","0","43777","8","Outros Recursos"
"PARTIDO SOCIAL LIBERAL","PSL",17,"01383005000103","Estadual","BA","NA","001","5689","8","32362","4","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"13477302000105","Estadual","BA","NA","001","2957","2","9383","1","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"13477302000105","Estadual","BA","NA","001","2957","2","8473","5","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"13477302000105","Estadual","BA","NA","001","2957","2","22080","9","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"34326215000119","Estadual","BA","NA","104","1018",,"00265","3","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"34326215000119","Estadual","BA","NA","104","1018",,"00264","5","Outros Recursos"
"PARTIDO VERDE","PV",43,"01365593000152","Estadual","BA","NA","001","5737","1","9933","3","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"20468795000174","Estadual","BA","NA","237","3173","9","1622","5","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"20468795000174","Estadual","BA","NA","001","2967","X","113258","X","Outros Recursos"
"SOLIDARIEDADE","SDD",77,"20468795000174","Estadual","BA","NA","001","2967","X","113257","1","Fundo Partidário"
"SOLIDARIEDADE","SDD",77,"20468795000174","Estadual","BA","NA","001","2967","X","112523","0","Fundo Partidário"
"AVANTE","AVANTE",70,"06373006000190","Municipal","BA","SALVADOR","001","1599",,"71794","0","Fundo Partidário"
"DEMOCRATAS","DEM",25,"01452292000166","Municipal","BA","SALVADOR","001","2816","9","126866","X","Fundo Partidário"
"DEMOCRATAS","DEM",25,"01452292000166","Municipal","BA","SALVADOR","001","2816","9","126584","9","Outros Recursos"
"DEMOCRATAS","DEM",25,"01452292000166","Municipal","BA","SALVADOR","001","2816","9","226583","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15696498000146","Municipal","BA","IBIRATAIA","001","1070","7","15884","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15811389000122","Municipal","BA","ITABERABA","001","5737","1","15383","4","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15811389000122","Municipal","BA","ITABERABA","001","5737","1","15381","8","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15811389000122","Municipal","BA","ITABERABA","001","5737","1","15378","8","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15916131000190","Municipal","BA","SÃO DOMINGOS","001","4191","2","7915","4","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"24773697000100","Municipal","BA","PRESIDENTE DUTRA","001","2499","6","15115","7","Fundo Partidário"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"24792829000132","Municipal","BA","DIAS D'ÁVILA","104","2850",,"2219","7","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"03964728000121","Municipal","BA","SALVADOR","104","1522",,"54","5","Outros Recursos"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"03964728000121","Municipal","BA","SALVADOR","104","1522",,"3672","8","Fundo Partidário"
"PARTIDO COMUNISTA DO BRASIL","PCdoB",65,"15788087000180","Municipal","BA","IBIRATAIA","001","1070","7","14568","8","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"16383637000144","Municipal","BA","ITABUNA","104","0070","0","6818","3","Outros Recursos"
